url;titulo;precio;precio millones;area;precio por metro;precio por metro millones;habitaciones;banos;parqueadero;Estrato;Sector;Admón;Admon por mt 2;Estado;Antigüedad;Piso No
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3151266.aspx;Apartamento en Venta Medellín El Poblado;230000000;230;70;3285714,286;3,285714286;2;2;1;5;;191000;2729; Excelente; 16 a 30 años; 1º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/frontera-det-3153821.aspx;Apartamento en Venta Medellín La Frontera;390000000;390;86,9;4487917,146;4,487917146;3;2;1;5;;350000;4028; Excelente; Menos de 1 año; 9º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3167545.aspx;Apartamento en Venta Medellín Ciudad del Río;375000000;375;88;4261363,636;4,261363636;3;2;1;5;;;0; Bueno; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3020286.aspx;Apartamento en Venta Medellín El Poblado;500000000;500;120;4166666,667;4,166666667;3;2;1;5;;;0; Bueno; 1 a 8 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/santa_maria_los_angeles-det-2710515.aspx;Apartamento en Venta Medellín SANTA MARIA DE LOS ANGELES;520000000;520;156;3333333,333;3,333333333;3;3;1;5;;405000;2596; Bueno; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3148218.aspx;Apartamento en Venta Medellín El Poblado;235000000;235;70;3357142,857;3,357142857;2;2;1;5;;191000;2729; Bueno; 9 a 15 años; 1º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3147423.aspx;Apartamento en Venta Medellín El Poblado;334000000;334;111;3009009,009;3,009009009;3;2;1;5;;248000;2234; Bueno; 16 a 30 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2297240.aspx;Apartamento en Venta Medellín El Poblado;380000000;380;80;4750000;4,75;3;2;1;5;;260000;3250; Excelente; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3144956.aspx;Apartamento en Venta Medellín Ciudad del Río;375000000;375;88;4261363,636;4,261363636;3;2;1;5;;;0; Bueno; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/santa_maria_los_angeles-det-2838195.aspx;Apartamento en Venta Medellín Santa María de los Ángeles;460000000;460;98;4693877,551;4,693877551;2;2;1;5;;428000;4367; Excelente; 1 a 8 años; Otros
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2757465.aspx;Apartamento en Venta Medellín El Poblado;700000000;700;280;2500000;2,5;3;4;1;5;;910000;3250; Bueno; 16 a 30 años; 2º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3084111.aspx;Apartamento en Venta Medellín El Poblado;285000000;285;74;3851351,351;3,851351351;3;2;1;5;;230000;3108; Excelente;; 4º
